"times","exponential_ma_open","exponential_ma_high","exponential_ma_low","exponential_ma_close","symbol","market"
"2019-10-08 09:45:00",45.4419,45.5615,45.3387,45.4415,"AAON","NASDAQ"
"2019-10-07 16:00:00",45.4515,45.5689,45.3491,45.4482,"AAON","NASDAQ"
"2019-10-07 15:45:00",45.4557,45.5735,45.3533,45.4534,"AAON","NASDAQ"
"2019-10-07 15:30:00",45.4612,45.5782,45.358,45.4577,"AAON","NASDAQ"
"2019-10-07 15:15:00",45.4677,45.5846,45.3637,45.4632,"AAON","NASDAQ"
"2019-10-07 15:00:00",45.4723,45.5898,45.3681,45.4684,"AAON","NASDAQ"
"2019-10-07 14:45:00",45.4773,45.5959,45.3738,45.4745,"AAON","NASDAQ"
"2019-10-07 14:30:00",45.4817,45.601,45.378,45.4797,"AAON","NASDAQ"
"2019-10-07 14:15:00",45.4862,45.6059,45.3817,45.484,"AAON","NASDAQ"
"2019-10-07 14:00:00",45.4886,45.6083,45.3849,45.488,"AAON","NASDAQ"
"2019-10-07 13:45:00",45.4896,45.6102,45.3854,45.4894,"AAON","NASDAQ"
"2019-10-07 13:30:00",45.4928,45.6118,45.3876,45.4904,"AAON","NASDAQ"
"2019-10-07 13:15:00",45.4974,45.6165,45.3912,45.4938,"AAON","NASDAQ"
"2019-10-07 13:00:00",45.4999,45.6201,45.3943,45.498,"AAON","NASDAQ"
"2019-10-07 12:45:00",45.5022,45.6226,45.3963,45.5011,"AAON","NASDAQ"
"2019-10-07 12:30:00",45.5036,45.6251,45.3971,45.5027,"AAON","NASDAQ"
"2019-10-07 12:15:00",45.5043,45.6266,45.3973,45.5038,"AAON","NASDAQ"
"2019-10-07 12:00:00",45.5057,45.6283,45.398,45.5048,"AAON","NASDAQ"
"2019-10-07 11:45:00",45.5079,45.6317,45.4004,45.5074,"AAON","NASDAQ"
"2019-10-07 11:30:00",45.5106,45.6341,45.402,45.5085,"AAON","NASDAQ"
"2019-10-07 11:15:00",45.5146,45.6379,45.4057,45.5115,"AAON","NASDAQ"
"2019-10-07 11:00:00",45.5181,45.6407,45.4087,45.5155,"AAON","NASDAQ"
"2019-10-07 10:45:00",45.5202,45.644,45.412,45.5185,"AAON","NASDAQ"
"2019-10-07 10:30:00",45.5248,45.6483,45.4155,45.5219,"AAON","NASDAQ"
"2019-10-07 10:15:00",45.5315,45.6544,45.4212,45.5271,"AAON","NASDAQ"
"2019-10-07 10:00:00",45.5371,45.661,45.4264,45.5332,"AAON","NASDAQ"
"2019-10-07 09:45:00",45.5432,45.6681,45.4327,45.5391,"AAON","NASDAQ"
"2019-10-04 16:00:00",45.5485,45.6734,45.4396,45.5467,"AAON","NASDAQ"
"2019-10-04 15:45:00",45.5516,45.6771,45.4432,45.5492,"AAON","NASDAQ"
"2019-10-04 15:30:00",45.5566,45.6813,45.4471,45.5522,"AAON","NASDAQ"
"2019-10-04 15:15:00",45.5615,45.6874,45.4519,45.5577,"AAON","NASDAQ"
"2019-10-04 15:00:00",45.5675,45.6931,45.4569,45.5635,"AAON","NASDAQ"
"2019-10-04 14:45:00",45.5731,45.6997,45.462,45.5693,"AAON","NASDAQ"
"2019-10-04 14:30:00",45.5784,45.7063,45.4666,45.5751,"AAON","NASDAQ"
"2019-10-04 14:15:00",45.5848,45.713,45.4719,45.5805,"AAON","NASDAQ"
"2019-10-04 14:00:00",45.5906,45.7196,45.4777,45.5872,"AAON","NASDAQ"
"2019-10-04 13:45:00",45.5978,45.7259,45.4839,45.5926,"AAON","NASDAQ"
"2019-10-04 13:30:00",45.6054,45.7341,45.4904,45.5995,"AAON","NASDAQ"
"2019-10-04 13:15:00",45.6132,45.7422,45.4971,45.6061,"AAON","NASDAQ"
"2019-10-04 13:00:00",45.6204,45.7494,45.5047,45.6149,"AAON","NASDAQ"
"2019-10-04 12:45:00",45.6276,45.7576,45.5118,45.6218,"AAON","NASDAQ"
"2019-10-04 12:30:00",45.6349,45.765,45.5181,45.6283,"AAON","NASDAQ"
"2019-10-04 12:15:00",45.6402,45.7713,45.5249,45.6351,"AAON","NASDAQ"
"2019-10-04 12:00:00",45.6457,45.777,45.5294,45.6404,"AAON","NASDAQ"
"2019-10-04 11:45:00",45.6546,45.7842,45.5372,45.6463,"AAON","NASDAQ"
"2019-10-04 11:30:00",45.665,45.794,45.5464,45.6547,"AAON","NASDAQ"
"2019-10-04 11:15:00",45.6764,45.806,45.5567,45.6653,"AAON","NASDAQ"
"2019-10-04 11:00:00",45.688,45.818,45.5674,45.6759,"AAON","NASDAQ"
"2019-10-04 10:45:00",45.7002,45.8299,45.5794,45.6866,"AAON","NASDAQ"
"2019-10-04 10:30:00",45.7124,45.843,45.593,45.6994,"AAON","NASDAQ"
"2019-10-04 10:15:00",45.7259,45.8565,45.6057,45.7121,"AAON","NASDAQ"
"2019-10-04 10:00:00",45.739,45.8706,45.6217,45.7252,"AAON","NASDAQ"
"2019-10-04 09:45:00",45.7542,45.8844,45.6365,45.7376,"AAON","NASDAQ"
"2019-10-03 16:00:00",45.7696,45.8958,45.6507,45.7509,"AAON","NASDAQ"
"2019-10-03 15:45:00",45.7868,45.9138,45.6682,45.7678,"AAON","NASDAQ"
"2019-10-03 15:30:00",45.8038,45.9309,45.6843,45.7849,"AAON","NASDAQ"
"2019-10-03 15:15:00",45.8205,45.9483,45.7011,45.8016,"AAON","NASDAQ"
"2019-10-03 15:00:00",45.8369,45.9652,45.7172,45.8183,"AAON","NASDAQ"
"2019-10-03 14:45:00",45.8529,45.9818,45.7326,45.8347,"AAON","NASDAQ"
"2019-10-03 14:30:00",45.8689,45.9985,45.7484,45.8513,"AAON","NASDAQ"
"2019-10-03 14:15:00",45.8847,46.0143,45.7633,45.8668,"AAON","NASDAQ"
"2019-10-03 14:00:00",45.9039,46.0329,45.7813,45.8839,"AAON","NASDAQ"
"2019-10-03 13:45:00",45.9218,46.052,45.8,45.9032,"AAON","NASDAQ"
"2019-10-03 13:30:00",45.9412,46.071,45.8193,45.9217,"AAON","NASDAQ"
"2019-10-03 13:15:00",45.9621,46.0914,45.8391,45.941,"AAON","NASDAQ"
"2019-10-03 13:00:00",45.9852,46.1133,45.8612,45.9615,"AAON","NASDAQ"
"2019-10-03 12:45:00",46.0086,46.1378,45.8841,45.9845,"AAON","NASDAQ"
"2019-10-03 12:30:00",46.0335,46.1626,45.908,46.0081,"AAON","NASDAQ"
"2019-10-03 12:15:00",46.0592,46.1891,45.9343,46.0333,"AAON","NASDAQ"
"2019-10-03 12:00:00",46.0885,46.2161,45.9626,46.0602,"AAON","NASDAQ"
"2019-10-03 11:45:00",46.1167,46.2441,45.9909,46.0894,"AAON","NASDAQ"
"2019-10-03 11:30:00",46.1425,46.2708,46.0175,46.1171,"AAON","NASDAQ"
"2019-10-03 11:15:00",46.1661,46.2939,46.0422,46.1424,"AAON","NASDAQ"
"2019-10-03 11:00:00",46.1948,46.3187,46.0697,46.1658,"AAON","NASDAQ"
"2019-10-03 10:45:00",46.2258,46.3494,46.1011,46.1954,"AAON","NASDAQ"
"2019-10-03 10:30:00",46.2566,46.3796,46.1306,46.2258,"AAON","NASDAQ"
"2019-10-03 10:15:00",46.288,46.4109,46.1607,46.2564,"AAON","NASDAQ"
"2019-10-03 10:00:00",46.3171,46.4409,46.1932,46.2895,"AAON","NASDAQ"
"2019-10-03 09:45:00",46.3464,46.4682,46.2218,46.317,"AAON","NASDAQ"
"2019-10-02 16:00:00",46.3761,46.4988,46.2505,46.3467,"AAON","NASDAQ"
"2019-10-02 15:45:00",46.4031,46.5271,46.2782,46.3738,"AAON","NASDAQ"
"2019-10-02 15:30:00",46.4299,46.5539,46.3048,46.4009,"AAON","NASDAQ"
"2019-10-02 15:15:00",46.4604,46.5814,46.334,46.4275,"AAON","NASDAQ"
"2019-10-02 15:00:00",46.4925,46.6124,46.3651,46.4578,"AAON","NASDAQ"
"2019-10-02 14:45:00",46.5252,46.6456,46.3972,46.4898,"AAON","NASDAQ"
"2019-10-02 14:30:00",46.5556,46.6768,46.4291,46.5221,"AAON","NASDAQ"
"2019-10-02 14:15:00",46.5902,46.7076,46.4624,46.5524,"AAON","NASDAQ"
"2019-10-02 14:00:00",46.6258,46.7434,46.4968,46.5872,"AAON","NASDAQ"
"2019-10-02 13:45:00",46.6617,46.7805,46.5327,46.6231,"AAON","NASDAQ"
"2019-10-02 13:30:00",46.6974,46.817,46.5687,46.6594,"AAON","NASDAQ"
"2019-10-02 13:15:00",46.733,46.8534,46.6036,46.695,"AAON","NASDAQ"
"2019-10-02 13:00:00",46.7702,46.8901,46.6396,46.7307,"AAON","NASDAQ"
"2019-10-02 12:45:00",46.8074,46.9284,46.6764,46.7679,"AAON","NASDAQ"
"2019-10-02 12:30:00",46.8436,46.9654,46.7133,46.8057,"AAON","NASDAQ"
"2019-10-02 12:15:00",46.8791,47.0015,46.75,46.8423,"AAON","NASDAQ"
"2019-10-02 12:00:00",46.9122,47.0352,46.7848,46.878,"AAON","NASDAQ"
"2019-10-02 11:45:00",46.9445,47.0684,46.8168,46.911,"AAON","NASDAQ"
"2019-10-02 11:30:00",46.9764,47.1007,46.8486,46.9432,"AAON","NASDAQ"
"2019-10-02 11:15:00",47.0076,47.131,46.8804,46.9754,"AAON","NASDAQ"
"2019-10-02 11:00:00",47.0374,47.1606,46.9103,47.006,"AAON","NASDAQ"
"2019-10-02 10:45:00",47.0679,47.1919,46.9417,47.0359,"AAON","NASDAQ"
"2019-10-02 10:30:00",47.0975,47.2216,46.9717,47.0668,"AAON","NASDAQ"
"2019-10-02 10:15:00",47.1229,47.2483,46.9992,47.0953,"AAON","NASDAQ"
"2019-10-02 10:00:00",47.1463,47.2729,47.0238,47.1208,"AAON","NASDAQ"
"2019-10-02 09:45:00",47.1667,47.2941,47.0452,47.1427,"AAON","NASDAQ"
"2019-10-01 16:00:00",47.1846,47.3106,47.0657,47.1621,"AAON","NASDAQ"
"2019-10-01 15:45:00",47.1985,47.3252,47.0794,47.176,"AAON","NASDAQ"
"2019-10-01 15:30:00",47.212,47.3395,47.0926,47.1896,"AAON","NASDAQ"
